HITI,Highland Tinamou,Nothocercus bonapartei,NOTBON
DAPE,Dark Pewee,Contopus lugubris,CONLUG
OCPE,Ochraceous Pewee,Contopus ochraceus,CONOCH
WEWP,Western Wood-Pewee,Contopus sordidulus,CONSOR
EAWP,Eastern Wood-Pewee,Contopus virens,CONVIR
TROP,Tropical Pewee,Contopus cinereus,CONCIN
CUPE,Cuban Pewee,Contopus caribaeus,CONCAB,
JPEW,Jamaican Pewee,Contopus pallidus,CONPAL
HIPE,Hispaniolan Pewee,Contopus hispaniolensis,CONHIS
LAPE,Lesser Antillean Pewee,Contopus latirostris,CONLAT
UNPE,Unidentified Pewee,Contopus (sp.),CONSPE
YBFL,Yellow-bellied Flycatcher,Empidonax flaviventris,EMPFLT,
ACFL,Acadian Flycatcher,Empidonax virescens,EMPVIR
ALFL,Alder Flycatcher,Empidonax alnorum,EMPALN
TRFL,Traill's Flycatcher,Empidonax alnorum/traillii,EMPALT
WIFL,Willow Flycatcher,Empidonax traillii,EMPTRA
SWFL,Southwestern Willow Flycatcher,Empidonax traillii extimus,EMPTEX
WTFL,White-throated Flycatcher,Empidonax albigularis,EMPALB
LEFL,Least Flycatcher,Empidonax minimus,EMPMIN
HAFL,Hammond's Flycatcher,Empidonax hammondii,EMPHAM
HDFL,Hammond's/Dusky Flycatcher,Empidonax hammondii/oberholseri,EMPHAO
GRFL,Gray Flycatcher,Empidonax wrightii,EMPWRI
DUFL,Dusky Flycatcher,Empidonax oberholseri,EMPOBE
PINF,Pine Flycatcher,Empidonax affinis,EMPAFF
WEFL,Western Flycatcher,Empidonax difficilis,EMPDIF
YEFL,Yellowish Flycatcher,Empidonax flavescens,EMPFLC,
BBFL,Buff-breasted Flycatcher,Empidonax fulvifrons,EMPFUL
BCAF,Black-capped Flycatcher,Empidonax atriceps,EMPATR
UNEM,Unidentified Empidonax,Empidonax (sp),EMPSPE
BLPH,Black Phoebe,Sayornis nigricans,SAYNIG
EAPH,Eastern Phoebe,Sayornis phoebe,SAYPHO
SAPH,Say's Phoebe,Sayornis saya,SAYSAY
VEFL,Vermilion Flycatcher,Pyrocephalus rubinus,PYRRUB
PIWT,Pied Water-Tyrant,Fluvicola pica,FLUPIC
NOSF,Northern Scrub-Flycatcher,Sublegatus arenarum,SUBARE
LTTY,Long-tailed Tyrant,Colonia colonus,COLCOL
UNFL,Unidentified Flycatcher,"Tyrannidae (gen, sp)",TYRGEN
BCAP,Black-crowned Antpitta,Pittasoma michleri,PITMIC
FAAN,Fasciated Antshrike,Cymbilaimus lineatus,CYMLIN
GANT,Great Antshrike,Taraba major,TARMAJ
BAAN,Barred Antshrike,Thamnophilus doliatus,THADO
BLAN,Black Antshrike,Thamnophilus nigriceps,THANI
BHOA,Black-hooded Antshrike,Thamnophilus bridgesi,THABR
BCAS,Black-crowned Antshrike,Thamnophilus atrinucha,THAAT
SFAN,Spiny-faced Antshrike,Xenornis setifrons,XENSE
RUAN,Russet Antshrike,Thamnistes anabatinus,THAAN
PLAN,Plain Antvireo,Dysithamnus mentalis,DYSME
STCA,Streak-crowned Antvireo,Dysithamnus striaticeps,DYSST
SPCA,Spot-crowned Antvireo,Dysithamnus puncticeps,DYSPU
MOAN,Moustached Antwren,Myrmotherula ignota,MYRIG
PAAN,Pacific Antwren,Myrmotherula pacifica,MYRPA
WFLA,White-flanked Antwren,Myrmotherula axillaris,MYRAX
SLAN,Slaty Antwren,Myrmotherula schisticolor,MYRSC
CTST,Checker-throated Stipplethroat,Epinecrophylla fulviventris,EPIFU
RWAN,Rusty-winged Antwren,Herpsilochmus frater,HERFR
DWAN,Dot-winged Antwren,Microrhopias quixensis,MICQU
WFRA,White-fringed Antwren,Formicivora grisea,FORGRI
RRAN,Rufous-rumped Antwren,Euchrepomis callinota,EUCCAL
DUAN,Dusky Antbird,Cercomacroides tyrannina,CERTYR
JEAN,Jet Antbird,Cercomacra nigricans,CERNIG
BACA,Bare-crowned Antbird,Gymnocichla nudiceps,GYCNUD,
ZEAN,Zeledon's Antbird,Hafferia zeledoni,HAFZEL
WBEA,White-bellied Antbird,Myrmeciza longipes,MYRLON
CBAN,Chestnut-backed Antbird,Poliocrania exsul,POLEXS
DMAN,Dull-mantled Antbird,Sipia laemosticta,SIPLAE
SPAN,Spotted Antbird,Hylophylax naevioides,HYLNAE
WBAA,Wing-banded Antbird,Myrmornis torquata,MYRTOR
BIAN,Bicolored Antbird,Gymnopithys bicolor,GYMBIC
OCAN,Ocellated Antbird,Phaenostictus mcleannani,PHAMCL
OBAN,Ochre-breasted Antpitta,Grallaricula flavirostris,GRAFLA
THAN,Thicket Antpitta,Myrmothera dives,MYRDIV
SCHA,Streak-chested Antpitta,Hylopezus perspicillatus,HYLPER
SCAA,Scaled Antpitta,Grallaria guatimalensis,GRAGUA
TATA,Tacarcuna Tapaculo,Scytalopus panamensis,SCYPAN
CHTA,Choco Tapaculo,Scytalopus chocoensis,SCYCHO
SFTA,Silvery-fronted Tapaculo,Scytalopus argentifrons,SCYARG
MAAN,Mayan Antthrush,Formicarius moniliger,FORMON
BFAN,Black-faced Antthrush,Formicarius analis,FORANA
BHEA,Black-headed Antthrush,Formicarius nigricapillus,FORNIG
RBAN,Rufous-breasted Antthrush,Formicarius rufipectus,FORRUF
TTLE,Tawny-throated Leaftosser,Sclerurus mexicanus,SCLMEX
GTLE,Gray-throated Leaftosser,Sclerurus albigularis,SCLALB
STLE,Scaly-throated Leaftosser,Sclerurus guatemalensis,SCLGUA
OLWO,Olivaceous Woodcreeper,Sittasomus griseicapillus,SITGRI
LTWO,Long-tailed Woodcreeper,Deconychura longicauda,DECLON
RUWO,Ruddy Woodcreeper,Dendrocincla homochroa,DENHOM
TWWO,Tawny-winged Woodcreeper,Dendrocincla anabatina,DENANA
PBRW,Plain-brown Woodcreeper,Dendrocincla fuliginosa,DENFUA,
WBWO,Wedge-billed Woodcreeper,Glyphorynchus spirurus,GLYSPI
NOBW,Northern Barred-Woodcreeper,Dendrocolaptes sanctithomae,DENSAN
BBNW,Black-banded Woodcreeper,Dendrocolaptes picumnus,DENPIM,
SNBW,Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus,XIPPRO
COWO,Cocoa Woodcreeper,Xiphorhynchus susurrans,XIPSUS
IBIW,Ivory-billed Woodcreeper,Xiphorhynchus flavigaster,XIPFLA
BSWO,Black-striped Woodcreeper,Xiphorhynchus lachrymosus,XIPLAC
SPWO,Spotted Woodcreeper,Xiphorhynchus erythropygius,XIPERY
SGBW,Straight-billed Woodcreeper,Dendroplex picus,DENPIS,
RBSC,Red-billed Scythebill,Campylorhamphus trochilirostris,CAMTRO
BBSC,Brown-billed Scythebill,Campylorhamphus pusillus,CAMPUS
WSWO,White-striped Woodcreeper,Lepidocolaptes leucogaster,LEPLEU
SHWO,Streak-headed Woodcreeper,Lepidocolaptes souleyetii,LEPSOU
SCRW,Spot-crowned Woodcreeper,Lepidocolaptes affinis,LEPAFF
PLXE,Plain Xenops,Xenops minutus,XENMIT,
STXE,Streaked Xenops,Xenops rutilans,XENRUT
BUTU,Buffy Tuftedcheek,Pseudocolaptes lawrencii,PSELAW
STST,Sharp-tailed Streamcreeper,Lochmias nematura,LOCNEM
SWFG,Slaty-winged Foliage-gleaner,Philydor fuscipenne,PHIFUS
BFFG,Buff-fronted Foliage-gleaner,Dendroma rufa,DENRUF
STFG,Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps,ANAVAR
LIFG,Lineated Foliage-gleaner,Syndactyla subalaris,SYNSUB
RUFG,Ruddy Foliage-gleaner,Clibanornis rubiginosus,CLIRUB
SBTR,Streak-breasted Treehunter,Thripadectes rufobrunneus,THRRUB,
OTFG,Ochre-throated Foliage-gleaner,Automolus ochrolaemus,AUTOCH
FTFG,Fawn-throated Foliage-gleaner,Automolus cervinigularis,AUTCER
CHFG,Chiriqui Foliage-gleaner,Automolus exsertus,AUTEXS
STPW,Striped Woodhaunter,Automolus subulatus,AUTSUB
SPBA,Spotted Barbtail,Premnoplex brunnescens,PREBRU
BETR,Beautiful Treerunner,Margarornis bellulus,MARBEL
RUTR,Ruddy Treerunner,Margarornis rubiginosus,MARRUB
DBGR,Double-banded Graytail,Xenerpestes minlosi,XENMIL,
RFSP,Red-faced Spinetail,Cranioleuca erythrops,CRAER
COSP,Coiba Spinetail,Cranioleuca dissita,CRADI
PBSP,Pale-breasted Spinetail,Synallaxis albescens,SYNAL
SLSP,Slaty Spinetail,Synallaxis brachyura,SYNBR
RBSP,Rufous-breasted Spinetail,Synallaxis erythrothorax,SYNER
RBPE,Rufous-browed Peppershrike,Cyclarhis gujanensis,CYCGU
SCRG,Scrub Greenlet,Hylophilus flavipes,HYLFL
CSSV,Chestnut-sided Shrike-Vireo,Vireolanius melitophrys,VIRME
GRSV,Green Shrike-Vireo,Vireolanius pulchellus,VIRPU
YBSV,Yellow-browed Shrike-Vireo,Vireolanius eximius,VIREX
TCGR,Tawny-crowned Greenlet,Tunchiornis ochraceiceps,TUNOC
LESG,Lesser Greenlet,Pachysylvia decurtata,PACDE
GFGR,Golden-fronted Greenlet,Pachysylvia aurantiifrons,PACAU
GOVI,Golden Vireo,Vireo hypochryseus,VIRHY
BMVI,Blue Mountain Vireo,Vireo osburni,VIROS
SLVI,Slaty Vireo,Vireo brevipennis,VIRBR
BCVI,Black-capped Vireo,Vireo atricapilla,VIRATR
DWVI,Dwarf Vireo,Vireo nelsoni,VIRNEL
WEVI,White-eyed Vireo,Vireo griseus,VIRGRI
TBVI,Thick-billed Vireo,Vireo crassirostris,VIRCRA
MAVI,Mangrove Vireo,Vireo pallens,VIRPAL
COVI,Cozumel Vireo,Vireo bairdi,VIRBAI
SAVI,San Andres Vireo,Vireo caribaeus,VIRCAB,
JAVI,Jamaican Vireo,Vireo modestus,VIRMOD
CUVI,Cuban Vireo,Vireo gundlachii,VIRGUN
PRVI,Puerto Rican Vireo,Vireo latimeri,VIRLAT
FBVI,Flat-billed Vireo,Vireo nanus,VIRNAN
BEVI,Bell's Vireo,Vireo bellii,VIRBEL
LBVI,Least Bell's Vireo,Vireo bellii pusillus,VIRBPU
GRVI,Gray Vireo,Vireo vicinior,VIRVIC
HUVI,Hutton's Vireo,Vireo huttoni,VIRHUT
YTVI,Yellow-throated Vireo,Vireo flavifrons,VIRFLF,
YWVI,Yellow-winged Vireo,Vireo carmioli,VIRCAM,
CAVI,Cassin's Vireo,Vireo cassinii,VIRCAS
BHVI,Blue-headed Vireo,Vireo solitarius,VIRSOL
SOVI,Solitary Vireo,Vireo (sp),VIRSPE
PLVI,Plumbeous Vireo,Vireo plumbeus,VIRPLU
PHVI,Philadelphia Vireo,Vireo philadelphicus,VIRPHI
WAVI,Warbling Vireo,Vireo gilvus,VIRGIL
BCAV,Brown-capped Vireo,Vireo leucophrys,VIRLEU
REVI,Red-eyed Vireo,Vireo olivaceus,VIROLI
YGVI,Yellow-green Vireo,Vireo flavoviridis,VIRFLD,
BWVI,Black-whiskered Vireo,Vireo altiloquus,VIRALT
YUVI,Yucatan Vireo,Vireo magister,VIRMAG
KAEL,Kauai Elepaio,Chasiempis sclateri,CHASCL
OAEL,Oahu Elepaio,Chasiempis ibidis,CHAIBI
HAEL,Hawaii Elepaio,Chasiempis sandwichensis,CHASAN
BROS,Brown Shrike,Lanius cristatus,LANCRI
RBSH,Red-backed Shrike,Lanius collurio,LANCO
LOSH,Loggerhead Shrike,Lanius ludovicianus,LANLU
SCLS,San Clemente Loggerhead Shrike,Lanius ludovicianus mearnsi,LANLU
NSHR,Northern Shrike,Lanius borealis,LANBO
CAJA,Canada Jay,Perisoreus canadensis,PERCA
WTJA,White-throated Jay,Cyanolyca mirabilis,CYAMI
DWJA,Dwarf Jay,Cyanolyca nanus,CYANA
BTJA,Black-throated Jay,Cyanolyca pumilo,CYAPU
STHJ,Silvery-throated Jay,Cyanolyca argentigula,CYAAR
AHJA,Azure-hooded Jay,Cyanolyca cucullata,CYACU
BTMJ,Black-throated Magpie-Jay,Cyanocorax colliei,CYACO
WTMJ,White-throated Magpie-Jay,Cyanocorax formosus,CYAFO
BRJA,Brown Jay,Cyanocorax morio,CYAMO
GRJA,Green Jay,Cyanocorax yncas,CYAYN
BCRJ,Bushy-crested Jay,Cyanocorax melanocyaneus,CYAME
YUJA,Yucatan Jay,Cyanocorax yucatanicus,CYAYU
PBJA,Purplish-backed Jay,Cyanocorax beecheii,CYABE
SBJA,San Blas Jay,Cyanocorax sanblasianus,CYASA
TUJA,Tufted Jay,Cyanocorax dickeyi,CYADI
BCHJ,Black-chested Jay,Cyanocorax affinis,CYAAF
PIJA,Pinyon Jay,Gymnorhinus cyanocephalus,GYMCY
STJA,Steller's Jay,Cyanocitta stelleri,CYAST
BLJA,Blue Jay,Cyanocitta cristata,CYACR
FLSJ,Florida Scrub-Jay,Aphelocoma coerulescens,APHCO
ISSJ,Island Scrub-Jay,Aphelocoma insularis,APHIN
CASJ,California Scrub-Jay,Aphelocoma californica,APHCA
WOSJ,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,APHWO
TRJA,Transvolcanic Jay,Aphelocoma ultramarina,APHUL
MEJA,Mexican Jay,Aphelocoma wollweberi,APHWO
UNJA,Unicolored Jay,Aphelocoma unicolor,APHUN
CLNU,Clark's Nutcracker,Nucifraga columbiana,NUCCO
BBMA,Black-billed Magpie,Pica hudsonia,PICHU
YBMA,Yellow-billed Magpie,Pica nuttalli,PICNU
EUJA,Eurasian Jackdaw,Corvus monedula,CORMO
ROOK,Rook,Corvus frugilegus,CORFR
AMCR,American Crow,Corvus brachyrhynchos,CORBR
CUPC,Cuban Palm-Crow,Corvus minutus,CORMI
HIPC,Hispaniolan Palm-Crow,Corvus palmarum,CORPA
CUCR,Cuban Crow,Corvus nasicus,CORNA
WNCR,White-necked Crow,Corvus leucognaphalus,CORLE
HCRW,Hooded Crow,Corvus cornix,CORCO
JACR,Jamaican Crow,Corvus jamaicensis,CORJA
TACR,Tamaulipas Crow,Corvus imparatus,CORIM
SICR,Sinaloa Crow,Corvus sinaloae,CORSI
FICR,Fish Crow,Corvus ossifragus,COROS
HCRO,Hawaiian Crow,Corvus hawaiiensis,CORHA
UNCR,Unidentified Crow,Corvus (sp),CORSP
CHRA,Chihuahuan Raven,Corvus cryptoleucus,CORCR
CORA,Common Raven,Corvus corax,CORCOX,
VERD,Verdin,Auriparus flaviceps,AURFLA
CACH,Carolina Chickadee,Poecile carolinensis,POECAR
BCCH,Black-capped Chickadee,Poecile atricapillus,POEATR
MOCH,Mountain Chickadee,Poecile gambeli,POEGAM
MECH,Mexican Chickadee,Poecile sclateri,POESCL
CBCH,Chestnut-backed Chickadee,Poecile rufescens,POERUF
BOCH,Boreal Chickadee,Poecile hudsonicus,POEHUD
GHCH,Gray-headed Chickadee,Poecile cinctus,POECIN
HYCH,Hybrid Chickadee,Poecile hybrid,POEHYB
UNCH,Unidentified Chickadee,Poecile (sp),POESPE
BRTI,Bridled Titmouse,Baeolophus wollweberi,BAEWOL
OATI,Oak Titmouse,Baeolophus inornatus,BAEINO
JUTI,Juniper Titmouse,Baeolophus ridgwayi,BAERID
TUTI,Tufted Titmouse,Baeolophus bicolor,BAEBIC
BCTI,Black-crested Titmouse,Baeolophus atricristatus,BAEATR
EUSK,Eurasian Skylark,Alauda arvensis,ALAAR
HOLA,Horned Lark,Eremophila alpestris,EREAL
SHLA,Streaked Horned Lark,Eremophila alpestris strigata,EREAL
TBWA,Thick-billed Warbler,Arundinax aedon,ARUAE
ICWA,Icterine Warbler,Hippolais icterina,HIPIC
MILL,Millerbird,Acrocephalus familiaris,ACRFA
SEWA,Sedge Warbler,Acrocephalus schoenobaenus,ACRSC
BREW,Blyth's Reed Warbler,Acrocephalus dumetorum,ACRDU
BCDO,Black-capped Donacobius,Donacobius atricapilla,DONAT
PGWA,Pallas's Grasshopper Warbler,Helopsaltes certhiola,HELCE
MGRW,Middendorff's Grasshopper Warbler,Helopsaltes ochotensis,HELOC
LANW,Lanceolated Warbler,Locustella lanceolata,LOCLA
RIWA,River Warbler,Locustella fluviatilis,LOCFL
BANS,Bank Swallow,Riparia riparia,RIPRI
TRES,Tree Swallow,Tachycineta bicolor,TACBI
BAHS,Bahama Swallow,Tachycineta cyaneoviridis,TACCY
VGSW,Violet-green Swallow,Tachycineta thalassina,TACTH
GOSW,Golden Swallow,Tachycineta euchrysea,TACEU
MANS,Mangrove Swallow,Tachycineta albilinea,TACAL
BCSW,Black-capped Swallow,Atticora pileata,ATTPI
WTGS,White-thighed Swallow,Atticora tibialis,ATTTI
BAWS,Blue-and-white Swallow,Pygochelidon cyanoleuca,PYGCY
NRWS,Northern Rough-winged Swallow,Stelgidopteryx serripennis,STESE
SRWS,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,STERU
BCMA,Brown-chested Martin,Progne tapera,PROTA
PUMA,Purple Martin,Progne subis,PROSU
SOMA,Southern Martin,Progne elegans,PROEL
GYBM,Gray-breasted Martin,Progne chalybea,PROCH
SIMA,Sinaloa Martin,Progne sinaloae,PROSI
CUMA,Cuban Martin,Progne cryptoleuca,PROCR
CAMA,Caribbean Martin,Progne dominicensis,PRODO
BARS,Barn Swallow,Hirundo rustica,HIRRU
WEHM,Western House-Martin,Delichon urbicum,DELUR
SIHM,Siberian House-Martin,Delichon lagopodum,DELLA
CLSW,Cliff Swallow,Petrochelidon pyrrhonota,PETPY
CASW,Cave Swallow,Petrochelidon fulva,PETFU
UNSW,Unidentified Swallow,"Hirundinidae (gen, sp)",HIRGS
BUSH,Bushtit,Psaltriparus minimus,PSAMI
JBWA,Japanese Bush Warbler,Horornis diphone,HORDI
WILW,Willow Warbler,Phylloscopus trochilus,PHYTR
CCHI,Common Chiffchaff,Phylloscopus collybita,PHYCO
WOWA,Wood Warbler,Phylloscopus sibilatrix,PHYSI
DUWA,Dusky Warbler,Phylloscopus fuscatus,PHYFU
PLEW,Pallas's Leaf Warbler,Phylloscopus proregulus,PHYPR
YBWA,Yellow-browed Warbler,Phylloscopus inornatus,PHYIN
ARWA,Arctic Warbler,Phylloscopus borealis,PHYBO
AKLW,Arctic/Kamchatka Leaf Warbler,Phylloscopus borealis/examinandus,PHYBO
KLWA,Kamchatka Leaf Warbler,Phylloscopus examinandus,PHYEX
RVBU,Red-vented Bulbul,Pycnonotus cafer,PYCCA
RWBU,Red-whiskered Bulbul,Pycnonotus jocosus,PYCJO
EUBC,Eurasian Blackcap,Sylvia atricapilla,SYLAT
LEWH,Lesser Whitethroat,Sylvia curruca,SYLCU
WREN,Wrentit,Chamaea fasciata,CHAFA
WAWE,Warbling White-eye,Zosterops japonicus,ZOSJA
GNLA,Greater Necklaced Laughingthrush,Garrulax pectoralis,GARPE
HWAM,Hwamei,Garrulax canorus,GARCA
RBLE,Red-billed Leiothrix,Leiothrix lutea,LEILU
RCKI,Ruby-crowned Kinglet,Corthylio calendula,CORCA
GCKI,Golden-crowned Kinglet,Regulus satrapa,REGSA
PALM,Palmchat,Dulus dominicus,DULDO
BOWA,Bohemian Waxwing,Bombycilla garrulus,BOMGA
CEDW,Cedar Waxwing,Bombycilla cedrorum,BOMCE
BAYS,Black-and-yellow Silky-flycatcher,Phainoptila melanoxantha,PHAME
GRSF,Gray Silky-flycatcher,Ptiliogonys cinereus,PTICI
LTSF,Long-tailed Silky-flycatcher,Ptiliogonys caudatus,PTICA
PHAI,Phainopepla,Phainopepla nitens,PHANI
KAOO,Kauai Oo,Moho braccatus,MOHBR
OAOO,Oahu Oo,Moho apicalis,MOHAP
BIOO,Bishop's Oo,Moho bishopi,MOHBI
HAOO,Hawaii Oo,Moho nobilis,MOHNO
KIOE,Kioea,Chaetoptila angustipluma,CHAAN
RBNU,Red-breasted Nuthatch,Sitta canadensis,SITCA
WBNU,White-breasted Nuthatch,Sitta carolinensis,SITCA
PYNU,Pygmy Nuthatch,Sitta pygmaea,SITPY
BHNU,Brown-headed Nuthatch,Sitta pusilla,SITPU
BANU,Bahama Nuthatch,Sitta insularis,SITIN
BRCR,Brown Creeper,Certhia americana,CERAM
LBGN,Long-billed Gnatwren,Ramphocaenus melanurus,RAMME
TFGN,Tawny-faced Gnatwren,Microbates cinereiventris,MICCI
STGN,Slate-throated Gnatcatcher,Polioptila schistaceigula,POLSC
CUGN,Cuban Gnatcatcher,Polioptila lembeyei,POLLEM
YUGN,Yucatan Gnatcatcher,Polioptila albiventris,POLALV,
WBGN,White-browed Gnatcatcher,Polioptila bilineata,POLBIL
BGGN,Blue-gray Gnatcatcher,Polioptila caerulea,POLCAE
BTGN,Black-tailed Gnatcatcher,Polioptila melanura,POLMEL
CAGN,California Gnatcatcher,Polioptila californica,POLCAL
BCGN,Black-capped Gnatcatcher,Polioptila nigriceps,POLNIG
WLGN,White-lored Gnatcatcher,Polioptila albiloris,POLALL,
ROWR,Rock Wren,Salpinctes obsoletus,SALOBS
NIWR,Nightingale Wren,Microcerculus philomela,MICPHI
SCBW,Scaly-breasted Wren,Microcerculus marginatus,MICMAR
CANW,Canyon Wren,Catherpes mexicanus,CAPMEX,
SUWR,Sumichrast's Wren,Hylorchilus sumichrasti,HYLSUM
NAWR,Nava's Wren,Hylorchilus navai,HYLNAV
SHEW,Sooty-headed Wren,Pheugopedius spadix,PHESPA
BTWR,Black-throated Wren,Pheugopedius atrogularis,PHEATR
RBSW,Rufous-breasted Wren,Pheugopedius rutilus,PHERUT
SOBW,Spot-breasted Wren,Pheugopedius maculipectus,PHEMAC
HAWR,Happy Wren,Pheugopedius felix,PHEFEL
BBEW,Black-bellied Wren,Pheugopedius fasciatoventris,PHEFAS
STWR,Stripe-throated Wren,Cantorchilus leucopogon,CANLEP,
SIBW,Stripe-breasted Wren,Cantorchilus thoracicus,CANTHO
CABW,Cabanis's Wren,Cantorchilus modestus,CANMOD
CAKW,Canebrake Wren,Cantorchilus zeledoni,CANZEL
ISWR,Isthmian Wren,Cantorchilus elutus,CANELU
BAYW,Bay Wren,Cantorchilus nigricapillus,CANNIG
RIWR,Riverside Wren,Cantorchilus semibadius,CANSEM
BBRW,Buff-breasted Wren,Cantorchilus leucotis,CANLET,
WBWW,White-breasted Wood-Wren,Henicorhina leucosticta,HENLES,
GBWW,Gray-breasted Wood-Wren,Henicorhina leucophrys,HENLEP,
SONW,Song Wren,Cyphorhinus phaeocephalus,CYPPHA
WBWR,White-bellied Wren,Uropsila leucogastra,UROLEU
RAWW,Rufous-and-white Wren,Thryophilus rufalbus,THRRUL,
SIWR,Sinaloa Wren,Thryophilus sinaloa,THRSIN
BANW,Banded Wren,Thryophilus pleurostictus,THRPLE
WHWR,White-headed Wren,Campylorhynchus albobrunneus,CAMALB
BABW,Band-backed Wren,Campylorhynchus zonatus,CAMZON
GBWR,Gray-barred Wren,Campylorhynchus megalopterus,CAMMEG
GIWR,Giant Wren,Campylorhynchus chiapensis,CAMCHI
BIWR,Bicolored Wren,Campylorhynchus griseus,CAMGRI
RNAW,Russet-naped Wren,Campylorhynchus humilis,CAMHUM
VEWR,Veracruz Wren,Campylorhynchus rufinucha,CAMRUF
RBAW,Rufous-backed Wren,Campylorhynchus capistratus,CAMCAP
SPWR,Spotted Wren,Campylorhynchus gularis,CAMGUL
BOWR,Boucard's Wren,Campylorhynchus jocosus,CAMJOC
YUWR,Yucatan Wren,Campylorhynchus yucatanicus,CAMYUC
CACW,Cactus Wren,Campylorhynchus brunneicapillus,CAMBRU
BEWR,Bewick's Wren,Thryomanes bewickii,THRBEW
CARW,Carolina Wren,Thryothorus ludovicianus,THRLUD
NHWR,Northern House Wren,Troglodytes aedon,TROAED
SHOW,Southern House Wren,Troglodytes musculus,TROMUL,
COWR,Cozumel Wren,Troglodytes beani,TROBEA
KAWR,Kalinago Wren,Troglodytes martinicensis,TROMAR
SLWR,St. Lucia Wren,Troglodytes mesoleucus,TROMES
SVWR,St. Vincent Wren,Troglodytes musicus,TROMUC,
GREW,Grenada Wren,Troglodytes grenadensis,TROGRE
SOHW,Southern House-Wren,Troglodytes aedon musculus,TROAMU
SOCW,Socorro Wren,Troglodytes sissonii,TROSIS
CLWR,Clarion Wren,Troglodytes tanneri,TROTAN
RBWW,Rufous-browed Wren,Troglodytes rufociliatus,TRORUC,
OCWR,Ochraceous Wren,Troglodytes ochraceus,TROOCH
PAWR,Pacific Wren,Troglodytes pacificus,TROPAC
PWWR,Pacific/Winter Wren,Troglodytes pacificus/hiemalis,TROPAH
WIWR,Winter Wren,Troglodytes hiemalis,TROHIE
ZAWR,Zapata Wren,Ferminia cerverai,FERCER
SEWR,Sedge Wren,Cistothorus stellaris,CISSTE
GWRE,Grass Wren,Cistothorus platensis,CISPLA
MAWR,Marsh Wren,Cistothorus palustris,CISPAL
TIWR,Timberline Wren,Thryorchilus browni,THRBRO
UNWR,Unidentified Wren,"Troglodytidae (gen, sp)",TRGGSP,
BLMO,Blue Mockingbird,Melanotis caerulescens,MELCAE
BAWM,Blue-and-white Mockingbird,Melanotis hypoleucus,MELHYC,
BLCA,Black Catbird,Melanoptila glabrirostris,MELGLA
GRCA,Gray Catbird,Dumetella carolinensis,DUMCAR
MATH,Martinique Thrasher,Ramphocinclus brachyurus,RAMBRA
SLTH,St. Lucia Thrasher,Ramphocinclus sanctaeluciae,RAMSAC,
SBTH,Scaly-breasted Thrasher,Allenia fusca,ALLFUC
PETH,Pearly-eyed Thrasher,Margarops fuscatus,MARFUS
BRTR,Brown Trembler,Cinclocerthia ruficauda,CINRUF
GRTR,Gray Trembler,Cinclocerthia gutturalis,CINGUT
CBTH,Curve-billed Thrasher,Toxostoma curvirostre,TOXCU
OCTH,Ocellated Thrasher,Toxostoma ocellatum,TOXOC
BRTH,Brown Thrasher,Toxostoma rufum,TOXRU
LBTH,Long-billed Thrasher,Toxostoma longirostre,TOXLO
COZT,Cozumel Thrasher,Toxostoma guttatum,TOXGU
BETH,Bendire's Thrasher,Toxostoma bendirei,TOXBE
GRAT,Gray Thrasher,Toxostoma cinereum,TOXCI
CATH,California Thrasher,Toxostoma redivivum,TOXRE
LCTH,LeConte's Thrasher,Toxostoma lecontei,TOXLE
CRTH,Crissal Thrasher,Toxostoma crissale,TOXCR
SATH,Sage Thrasher,Oreoscoptes montanus,OREMO
BAMO,Bahama Mockingbird,Mimus gundlachii,MIMGU
SOMO,Socorro Mockingbird,Mimus graysoni,MIMGR
TRMO,Tropical Mockingbird,Mimus gilvus,MIMGI
NOMO,Northern Mockingbird,Mimus polyglottos,MIMPO
EUST,European Starling,Sturnus vulgaris,STUVU
COMY,Common Myna,Acridotheres tristis,ACRTR
AMDI,American Dipper,Cinclus mexicanus,CINME
EABL,Eastern Bluebird,Sialia sialis,SIASI
WEBL,Western Bluebird,Sialia mexicana,SIAME
MOBL,Mountain Bluebird,Sialia currucoides,SIACU
HYBL,Hybrid Bluebird,Sialia hybrid,SIAHY
TOSO,Townsend's Solitaire,Myadestes townsendi,MYATO
BBSO,Brown-backed Solitaire,Myadestes occidentalis,MYAOC
CUSO,Cuban Solitaire,Myadestes elisabeth,MYAEL
RTSO,Rufous-throated Solitaire,Myadestes genibarbis,MYAGE
BFSO,Black-faced Solitaire,Myadestes melanops,MYAME
VASO,Varied Solitaire,Myadestes coloratus,MYACO
SCSO,Slate-colored Solitaire,Myadestes unicolor,MYAUN
KAMA,Kamao,Myadestes myadestinus,MYAMY
AMAU,Amaui,Myadestes woahensis,MYAWO
OLOM,Olomao,Myadestes lanaiensis,MYALA
OMAO,Omao,Myadestes obscurus,MYAOBS
PUAI,Puaiohi,Myadestes palmeri,MYAPAL
WHTH,White's Thrush,Zoothera aurea,ZOOAUR
BBNT,Black-billed Nightingale-Thrush,Catharus gracilirostris,CATGRA
OBNT,Orange-billed Nightingale-Thrush,Catharus aurantiirostris,CATAUN,
